match_id,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup
EUW1_7620108235,Gangplank,Qiyana,Sylas,MissFortune,Nami,Sion,Talon,Akali,Ashe,Sona
EUW1_7618855025,Vayne,Talon,Leblanc,AurelionSol,Pantheon,KSante,Viego,Zoe,Kaisa,Bard
EUW1_7617845711,FiddleSticks,Khazix,Mel,Sivir,Lulu,TwistedFate,Rumble,Qiyana,Tristana,Bard
EUW1_7617801044,Zaahen,LeeSin,Ryze,MissFortune,Janna,Singed,Talon,Leblanc,KogMaw,Bard
EUW1_7616835213,Zilean,Sylas,Jayce,Smolder,Rell,Riven,Talon,Ekko,Lucian,Sona
EUW1_7616788348,Sejuani,XinZhao,Akali,Tristana,Lux,Aatrox,Khazix,TwistedFate,Smolder,Karma
EUW1_7616759576,Sion,Nidalee,Talon,Sona,Janna,DrMundo,Diana,Yasuo,Mel,Rakan
EUW1_7616726585,Ambessa,DrMundo,TwistedFate,Xayah,Thresh,Cassiopeia,Talon,Fizz,Yunara,Karma
EUW1_7614127378,Udyr,Talon,TwistedFate,Yasuo,Rell,Zaahen,Lux,Akali,Viego,
EUW1_7611478036,Zaahen,Skarner,Viktor,Lucian,Karma,Chogath,Talon,Yone,Mel,Senna
EUW1_7617786292,Gangplank,Zac,Veigar,Sivir,Rell,Singed,Ambessa,Syndra,Yunara,Rakan
EUW1_7617770464,Yorick,Sylas,Viktor,Kaisa,Fiora,Rumble,Aatrox,Talon,MissFortune,Pantheon
EUW1_7612502865,Rumble,LeeSin,Taliyah,Sivir,Blitzcrank,Gangplank,Jayce,Syndra,Yunara,Janna
EUW1_7612411160,Jax,Ambessa,Syndra,Kalista,Renata,Rumble,Vi,Yone,Taliyah,Leona
EUW1_7612401971,Sion,LeeSin,Vladimir,Kaisa,Gragas,Ornn,Zed,Ekko,Jhin,Pyke
EUW1_7612326114,Fiora,Shaco,Mel,Kalista,Renata,Vladimir,Aatrox,Malzahar,Kaisa,Pyke
EUW1_7612233484,Cassiopeia,Shen,Taliyah,Caitlyn,Pyke,Irelia,Ambessa,Annie,Ziggs,Bard
EUW1_7612184040,Fiora,MonkeyKing,Ahri,Jhin,Rakan,Chogath,Ambessa,Syndra,Yunara,Lulu
EUW1_7611894660,Jayce,Diana,Viktor,Caitlyn,Neeko,Ambessa,Aatrox,Syndra,Kaisa,Elise
EUW1_7608233554,Yunara,Diana,Yasuo,KSante,Poppy,Gwen,Qiyana,Akali,Lucian,Alistar
EUW1_7620284561,Illaoi,Nidalee,Akali,Ashe,Pyke,Jayce,Nunu,Mel,Jhin,Bard
EUW1_7620257238,KSante,Nunu,Galio,Ziggs,Pyke,Gnar,Zed,Katarina,Tristana,Bard
EUW1_7619363828,Yorick,Talon,Akshan,Lucian,Neeko,Singed,XinZhao,Quinn,Kaisa,Nautilus
EUW1_7619317109,KSante,Diana,Yasuo,Taliyah,Poppy,Vladimir,Nidalee,Renekton,Kalista,Alistar
EUW1_7619277421,Olaf,Sylas,Quinn,Anivia,Poppy,Sion,LeeSin,Ahri,Caitlyn,Karma
EUW1_7619253589,Rumble,Sylas,Jayce,Ashe,Rakan,KSante,Qiyana,Draven,Mel,Pyke
EUW1_7619198968,KSante,XinZhao,Annie,Zeri,Seraphine,Aurora,Nunu,Yone,Draven,Karma
EUW1_7619164634,Zaahen,Sylas,Hwei,Ashe,Karma,Aatrox,Nunu,Cassiopeia,Tristana,Nautilus
EUW1_7619057741,Anivia,Zaahen,Yasuo,MissFortune,Nautilus,Rumble,Qiyana,Malzahar,Draven,Neeko
EUW1_7618626357,Heimerdinger,Evelynn,Yone,Ezreal,Karma,Karthus,Nocturne,Zaahen,MissFortune,Leona
EUW1_7620313668,Shen,Ambessa,Orianna,Kaisa,Nautilus,Yone,Karthus,Taliyah,Draven,Pyke
EUW1_7620084228,Riven,Chogath,Anivia,MissFortune,Blitzcrank,KSante,Zaahen,Syndra,Ezreal,Karma
EUW1_7614717125,Teemo,DrMundo,Zaahen,Ezreal,Karma,Fiora,Elise,Talon,Jhin,Pyke
EUW1_7614641698,Ekko,DrMundo,KSante,Tristana,Poppy,Smolder,Zed,Orianna,Jhin,Leona
EUW1_7613433645,Jayce,Naafiri,Neeko,MissFortune,Rell,Ambessa,Sylas,Galio,Jhin,Poppy
EUW1_7613382618,Yorick,Ambessa,Ryze,Jhin,Nautilus,Aatrox,Poppy,Ekko,Tristana,Leona
EUW1_7613317940,Chogath,Zaahen,Neeko,Tristana,Rell,Renekton,Sylas,Syndra,Vayne,Alistar
EUW1_7612978205,Ornn,Zed,Syndra,Tristana,Elise,Gwen,Viego,Ahri,Zeri,Yuumi
EUW1_7612926221,Rumble,MonkeyKing,Yasuo,Syndra,Soraka,Sion,Karthus,Orianna,Kaisa,Alistar
EUW1_7612869150,Jayce,JarvanIV,Mel,Aphelios,Zoe,Gangplank,Ambessa,Syndra,Jhin,Maokai
EUW1_7620183755,Shen,LeeSin,Katarina,Aphelios,FiddleSticks,Zaahen,Ambessa,Cassiopeia,Zoe,Pyke
EUW1_7620151104,Zaahen,Aatrox,Cassiopeia,Corki,Blitzcrank,Gwen,Ambessa,Taliyah,Ezreal,Anivia
EUW1_7620130639,Yone,Qiyana,Taliyah,Smolder,Rell,Renekton,LeeSin,Syndra,Mel,Nautilus
EUW1_7619523934,KSante,Aatrox,Ziggs,Xayah,Neeko,Renekton,Ekko,Malzahar,Jhin,Bard
EUW1_7619424460,Fiora,Sylas,Ziggs,Corki,Leona,Jayce,Zed,Syndra,Kaisa,Shen
EUW1_7619371662,Shen,Chogath,Jayce,Ziggs,Rell,Fiora,Sylas,KSante,Draven,Neeko
EUW1_7619317109,KSante,Diana,Yasuo,Taliyah,Poppy,Vladimir,Nidalee,Renekton,Kalista,Alistar
EUW1_7619277421,Olaf,Sylas,Quinn,Anivia,Poppy,Sion,LeeSin,Ahri,Caitlyn,Karma
EUW1_7619253589,Rumble,Sylas,Jayce,Ashe,Rakan,KSante,Qiyana,Draven,Mel,Pyke
EUW1_7619229977,Darius,Kindred,Sylas,Mel,Nautilus,Jayce,Rengar,Malzahar,Hwei,Zilean
EUW1_7620337221,Renekton,Jax,Neeko,AurelionSol,Rell,Elise,Hecarim,Corki,Kaisa,Taric
EUW1_7620284561,Illaoi,Nidalee,Akali,Ashe,Pyke,Jayce,Nunu,Mel,Jhin,Bard
EUW1_7620241159,Sion,Nidalee,Zaahen,Kaisa,Nautilus,Pantheon,Sylas,Yone,Ezreal,Karma
EUW1_7620195980,Aurora,Ambessa,Sylas,Jhin,Bard,Illaoi,Diana,Malzahar,Corki,Nautilus
EUW1_7620169642,Urgot,Diana,Yone,MissFortune,Rakan,Gnar,Rengar,Akali,Jhin,Pyke
EUW1_7620064406,Malphite,Nidalee,Taliyah,Ezreal,Rell,Gangplank,Gwen,Sylas,Yunara,Milio
EUW1_7620054727,Ambessa,Aatrox,Mel,Jhin,Rell,Renekton,Diana,Jayce,Neeko,Pyke
EUW1_7620034757,Malphite,Sylas,Yasuo,Tristana,Pantheon,Vayne,Nidalee,Syndra,Ashe,Braum
EUW1_7620027835,Vayne,Sylas,Diana,Smolder,Alistar,Gangplank,Nidalee,Talon,Corki,Rell
EUW1_7620017051,Zaahen,LeeSin,Naafiri,Swain,Sona,Ambessa,Diana,Qiyana,Nilah,Neeko
EUW1_7619942140,Renekton,Aatrox,Qiyana,Seraphine,Rell,Ornn,Sylas,Yone,Mel,Pantheon
EUW1_7619918469,Riven,XinZhao,Zoe,MissFortune,Nautilus,Zaahen,Gwen,Yone,Jhin,Janna
EUW1_7619887042,Shen,Ambessa,Ryze,Sivir,Janna,Aurora,Viego,Zed,Yunara,DrMundo
EUW1_7619835342,Urgot,XinZhao,Annie,Mel,Pyke,Aatrox,JarvanIV,Taliyah,Jhin,Leona
EUW1_7619797806,Gnar,Ambessa,Ekko,Sivir,Poppy,Vayne,Viego,Sylas,Zeri,Neeko
EUW1_7619753537,Ambessa,Chogath,Katarina,Kaisa,Alistar,Yorick,Nidalee,Yasuo,Sivir,Rell
EUW1_7619231210,Urgot,Fizz,Quinn,MissFortune,Rell,Ambessa,Talon,Annie,Yunara,Leona
EUW1_7619198968,KSante,XinZhao,Annie,Zeri,Seraphine,Aurora,Nunu,Yone,Draven,Karma
EUW1_7619164634,Zaahen,Sylas,Hwei,Ashe,Karma,Aatrox,Nunu,Cassiopeia,Tristana,Nautilus
EUW1_7619131486,Zaahen,DrMundo,Ahri,Yunara,Alistar,Singed,Nocturne,Swain,Jhin,Bard
EUW1_7612411160,Jax,Ambessa,Syndra,Kalista,Renata,Rumble,Vi,Yone,Taliyah,Leona
EUW1_7610285568,Jayce,Zaahen,Azir,Smolder,Poppy,Fiora,Ambessa,Akali,Corki,Leona
EUW1_7607270323,Rumble,Qiyana,Irelia,Swain,Senna,Ambessa,Diana,Yone,Kaisa,Rakan
EUW1_7607221033,Viktor,Sylas,Renekton,Smolder,Nautilus,Teemo,Nunu,Fiora,Ezreal,Pantheon
EUW1_7603539287,Ambessa,Rengar,Leblanc,Yunara,Thresh,Irelia,Hecarim,Zed,Sivir,Neeko
EUW1_7603475972,Vayne,JarvanIV,Sylas,Yunara,Karma,Rumble,XinZhao,Akali,Ezreal,Velkoz
EUW1_7603432728,AurelionSol,Elise,Jax,Akshan,Maokai,Heimerdinger,Naafiri,Irelia,Ezreal,Fiora
EUW1_7603384791,Ambessa,Nidalee,Irelia,Mel,Rell,KSante,Elise,Hwei,Smolder,Bard
EUW1_7602531916,Ryze,Jax,Sion,Ashe,Pyke,Riven,DrMundo,Rumble,Tristana,Lulu
EUW1_7602463594,Rumble,Graves,Veigar,Kaisa,Nautilus,Ambessa,Qiyana,Leblanc,Taliyah,Blitzcrank
EUW1_7618859923,Rumble,Rengar,Mel,Yunara,Poppy,KSante,Ekko,Talon,Jhin,Rell
EUW1_7618845880,Renekton,Ivern,Taliyah,Aphelios,Alistar,Vayne,Talon,Orianna,Yunara,Rell
EUW1_7618812254,Sion,Ambessa,Akali,MissFortune,Bard,Fiora,RekSai,Galio,Jhin,Renata
EUW1_7618782563,Renekton,Diana,Yasuo,MissFortune,Lulu,Gragas,Rengar,Qiyana,Yunara,Bard
EUW1_7618714120,Jayce,Vi,Hwei,Ezreal,Karma,Urgot,Viego,Akali,Kaisa,Neeko
